escena_numero;escena_locacion;momento;intencion_dramatica;ritmo;plano_numero;tipo_plano;descripcion_plano;accion_principal;camara_movimiento;sonido_transicion;elementos_necesarios;notas_produccion
15;INT. CHOZA DE YAMKO Y YAM / HARUWEN DEL OESTE;NOCHE;Activar la tentación de poder de Lola: dolor transformado en deseo de venganza.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;15.01;Plano narrativo;Cámara al ras de pastizal siguiendo patas de perros y respiración de niños.;Cámara al ras de pastizal siguiendo patas de perros y respiración de niños.;Cámara funcional al eje dramático;"Viento como voz espiritual y guía; usarlo para transiciones. Ladridos y respiración animal en primer plano para amenaza cercana. Disparos secos, sin heroicidad; cortar ambiente después de impactos graves. Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Luna/luz plateada; Sol/luz cálida; Viento FX; Yamko; Yam; Perros Duncan/Fox; Haruwen/chozas; Choza; Mar/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
15;INT. CHOZA DE YAMKO Y YAM / HARUWEN DEL OESTE;NOCHE;Activar la tentación de poder de Lola: dolor transformado en deseo de venganza.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;15.02;Plano narrativo;Cortes alternados: hocicos olfateando / ojos de Uky y Lola escondidos.;hocicos olfateando / ojos de Uky y Lola escondidos.;Cámara funcional al eje dramático;"Viento como voz espiritual y guía; usarlo para transiciones. Ladridos y respiración animal en primer plano para amenaza cercana. Disparos secos, sin heroicidad; cortar ambiente después de impactos graves. Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Luna/luz plateada; Sol/luz cálida; Viento FX; Lola; Uky; Yamko; Yam; Haruwen/chozas; Choza";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
15;INT. CHOZA DE YAMKO Y YAM / HARUWEN DEL OESTE;NOCHE;Activar la tentación de poder de Lola: dolor transformado en deseo de venganza.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;15.03;Travelling;"Travelling lateral de carrera hacia acantilado; aumentar velocidad progresivamente.";"Travelling lateral de carrera hacia acantilado; aumentar velocidad progresivamente.";Travelling;"Viento como voz espiritual y guía; usarlo para transiciones. Ladridos y respiración animal en primer plano para amenaza cercana. Disparos secos, sin heroicidad; cortar ambiente después de impactos graves. Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Luna/luz plateada; Sol/luz cálida; Viento FX; Yamko; Yam; Haruwen/chozas; Choza";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
15;INT. CHOZA DE YAMKO Y YAM / HARUWEN DEL OESTE;NOCHE;Activar la tentación de poder de Lola: dolor transformado en deseo de venganza.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;15.04;Plano narrativo;Plano vertical del árbol torcido: niños arriba, perros abajo, Peduzzi en medio.;niños arriba, perros abajo, Peduzzi en medio.;Cámara funcional al eje dramático;"Viento como voz espiritual y guía; usarlo para transiciones. Ladridos y respiración animal en primer plano para amenaza cercana. Disparos secos, sin heroicidad; cortar ambiente después de impactos graves. Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Luna/luz plateada; Sol/luz cálida; Viento FX; Árbol torcido; Yamko; Yam; Peduzzi; Perros Duncan/Fox; Haruwen/chozas; Choza";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
15;INT. CHOZA DE YAMKO Y YAM / HARUWEN DEL OESTE;NOCHE;Activar la tentación de poder de Lola: dolor transformado en deseo de venganza.;Ritmo alto: cortes breves, cámara móvil, respiración y percusión marcadas.;15.05;Plano narrativo;Gag de Tah distrayendo perros con timing amplio y remate visual limpio.;Gag de Tah distrayendo perros con timing amplio y remate visual limpio.;Cámara funcional al eje dramático;"Viento como voz espiritual y guía; usarlo para transiciones. Ladridos y respiración animal en primer plano para amenaza cercana. Disparos secos, sin heroicidad; cortar ambiente después de impactos graves. Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Luna/luz plateada; Sol/luz cálida; Viento FX; Tah / cururo; Yamko; Yam; Perros Duncan/Fox; Haruwen/chozas; Choza";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
16;INT. CHOZA DE YAMKO Y YAM / HARUWEN DEL OESTE;NOCHE;Avanzar la relación entre personajes y preparar la siguiente variación emocional del viaje.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;16.01;PG / Plano general;Plano general de ubicación para orientar geografía y clima emocional.;Plano general de ubicación para orientar geografía y clima emocional.;Cámara funcional al eje dramático;Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.;"Sol/luz cálida; Yamko; Yam; Haruwen/chozas; Choza";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
16;INT. CHOZA DE YAMKO Y YAM / HARUWEN DEL OESTE;NOCHE;Avanzar la relación entre personajes y preparar la siguiente variación emocional del viaje.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;16.02;Plano narrativo;Planos medios alternados de diálogo/acción, cuidando eje entre Uky, Lola y acompañantes.;Planos medios alternados de diálogo/acción, cuidando eje entre Uky, Lola y acompañantes.;Cámara funcional al eje dramático;Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.;"Sol/luz cálida; Lola; Uky; Yamko; Yam; Haruwen/chozas; Choza";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
16;INT. CHOZA DE YAMKO Y YAM / HARUWEN DEL OESTE;NOCHE;Avanzar la relación entre personajes y preparar la siguiente variación emocional del viaje.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;16.03;Plano narrativo;Planos detalle de objetos rituales, pinturas, fuego, huellas o animales como signos dramáticos.;Planos detalle de objetos rituales, pinturas, fuego, huellas o animales como signos dramáticos.;Cámara funcional al eje dramático;Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.;"Fogata/fuego FX; Sol/luz cálida; Yamko; Yam; Pinturas tari; Haruwen/chozas; Choza";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
16;INT. CHOZA DE YAMKO Y YAM / HARUWEN DEL OESTE;NOCHE;Avanzar la relación entre personajes y preparar la siguiente variación emocional del viaje.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;16.04;Plano narrativo;Cerrar en reacción emocional o elemento natural que anticipe la escena siguiente.;Cerrar en reacción emocional o elemento natural que anticipe la escena siguiente.;Cámara funcional al eje dramático;Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.;"Sol/luz cálida; Yamko; Yam; Haruwen/chozas; Choza";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
17;EXT. BOSQUE HARUWEN DEL OESTE;NOCHE;Presentar a Lola como sobreviviente: misterio, trauma y entrada de la Luna al relato.;Ritmo contenido: planos más largos, pausas, respiración y foco en mirada/reacción.;17.01;PG / Plano general;"PG del eclipse como reloj dramático; bajar temperatura de color progresivamente.";"PG del eclipse como reloj dramático; bajar temperatura de color progresivamente.";Cámara funcional al eje dramático;Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave.;"Luna/luz plateada; Haruwen/chozas";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
17;EXT. BOSQUE HARUWEN DEL OESTE;NOCHE;Presentar a Lola como sobreviviente: misterio, trauma y entrada de la Luna al relato.;Ritmo contenido: planos más largos, pausas, respiración y foco en mirada/reacción.;17.02;Plano narrativo;Planos amplios de destrucción para escala y planos cortos de Uky/Lola para ancla emocional.;Planos amplios de destrucción para escala y planos cortos de Uky/Lola para ancla emocional.;Cámara funcional al eje dramático;Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave.;"Luna/luz plateada; Lola; Uky; Haruwen/chozas";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
17;EXT. BOSQUE HARUWEN DEL OESTE;NOCHE;Presentar a Lola como sobreviviente: misterio, trauma y entrada de la Luna al relato.;Ritmo contenido: planos más largos, pausas, respiración y foco en mirada/reacción.;17.03;Plano narrativo;"Cámara circular para duelo Sol-Luna; Xalpén orbita, Kotaix sostiene eje vertical.";"Cámara circular para duelo Sol-Luna; Xalpén orbita, Kotaix sostiene eje vertical.";Órbita;Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave.;"Luna/luz plateada; Sol/luz cálida; Xalpén; Haruwen/chozas; Mar/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
17;EXT. BOSQUE HARUWEN DEL OESTE;NOCHE;Presentar a Lola como sobreviviente: misterio, trauma y entrada de la Luna al relato.;Ritmo contenido: planos más largos, pausas, respiración y foco en mirada/reacción.;17.04;Insert;Insert de grietas, ovejas, armas, sorteos/soortes y fuego para caos fragmentado.;Insert de grietas, ovejas, armas, sorteos/soortes y fuego para caos fragmentado.;Cámara funcional al eje dramático;Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave.;"Fogata/fuego FX; Luna/luz plateada; Ovejas; Rifles/armas; Soortes; Haruwen/chozas";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
17;EXT. BOSQUE HARUWEN DEL OESTE;NOCHE;Presentar a Lola como sobreviviente: misterio, trauma y entrada de la Luna al relato.;Ritmo contenido: planos más largos, pausas, respiración y foco en mirada/reacción.;17.05;Plano narrativo;Cerrar cada beat con reacción de Uky o Lola para no perder el corazón de la escena.;Cerrar cada beat con reacción de Uky o Lola para no perder el corazón de la escena.;Cámara funcional al eje dramático;Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave.;"Luna/luz plateada; Lola; Uky; Haruwen/chozas";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
18;EXT. ORILLA DE LAGO LUNA;NOCHE;Activar la tentación de poder de Lola: dolor transformado en deseo de venganza.;Ritmo musical/montaje: alternar planos amplios con inserts expresivos y acciones encadenadas.;18.01;PG / Plano general;"PG mágico del lago plateado; reflejo de Luna como eje vertical.";"PG mágico del lago plateado; reflejo de Luna como eje vertical.";Cámara funcional al eje dramático;"Viento como voz espiritual y guía; usarlo para transiciones. Música diegética integrada a acción; percusión orgánica y respiración. Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Luna/luz plateada; Sol/luz cálida; Viento FX; Lago/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
18;EXT. ORILLA DE LAGO LUNA;NOCHE;Activar la tentación de poder de Lola: dolor transformado en deseo de venganza.;Ritmo musical/montaje: alternar planos amplios con inserts expresivos y acciones encadenadas.;18.02;Plano narrativo;"Plano secuencia musical rodeando a Lola; Tanú siempre detrás, casi fuera de campo.";"Plano secuencia musical rodeando a Lola; Tanú siempre detrás, casi fuera de campo.";Cámara funcional al eje dramático;"Viento como voz espiritual y guía; usarlo para transiciones. Música diegética integrada a acción; percusión orgánica y respiración. Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Luna/luz plateada; Sol/luz cálida; Viento FX; Lola; Tanú; Lago/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
18;EXT. ORILLA DE LAGO LUNA;NOCHE;Activar la tentación de poder de Lola: dolor transformado en deseo de venganza.;Ritmo musical/montaje: alternar planos amplios con inserts expresivos y acciones encadenadas.;18.03;Plano narrativo;Detalles de pinturas brillando, gotas flotando y piedras suspendidas.;Detalles de pinturas brillando, gotas flotando y piedras suspendidas.;Cámara funcional al eje dramático;"Viento como voz espiritual y guía; usarlo para transiciones. Música diegética integrada a acción; percusión orgánica y respiración. Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Luna/luz plateada; Sol/luz cálida; Viento FX; Pinturas tari; Lago/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
18;EXT. ORILLA DE LAGO LUNA;NOCHE;Activar la tentación de poder de Lola: dolor transformado en deseo de venganza.;Ritmo musical/montaje: alternar planos amplios con inserts expresivos y acciones encadenadas.;18.04;Contrapicado;"Contrapicado de Lola elevándose bajo rayo lunar; belleza que se vuelve sofocante.";"Contrapicado de Lola elevándose bajo rayo lunar; belleza que se vuelve sofocante.";Contrapicado, Picado;"Viento como voz espiritual y guía; usarlo para transiciones. Música diegética integrada a acción; percusión orgánica y respiración. Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Luna/luz plateada; Sol/luz cálida; Viento FX; Lola; Lago/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
18;EXT. ORILLA DE LAGO LUNA;NOCHE;Activar la tentación de poder de Lola: dolor transformado en deseo de venganza.;Ritmo musical/montaje: alternar planos amplios con inserts expresivos y acciones encadenadas.;18.05;Plano narrativo;Corte súbito al agua cayendo y Lola inconsciente: fin del hechizo.;fin del hechizo.;Cámara funcional al eje dramático;"Viento como voz espiritual y guía; usarlo para transiciones. Música diegética integrada a acción; percusión orgánica y respiración. Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Luna/luz plateada; Sol/luz cálida; Viento FX; Lola; Lago/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
19;EXT. PASTIZAL / ISLA TIERRA DEL FUEGO;DÍA;"Contraponer rito, linaje y miedo interno; Uky enfrenta lo que la comunidad espera de él.";Ritmo musical/montaje: alternar planos amplios con inserts expresivos y acciones encadenadas.;19.01;Plano narrativo;"Plano ritual con figuras de soortes distribuidas por cardinales; eje geométrico claro.";"Plano ritual con figuras de soortes distribuidas por cardinales; eje geométrico claro.";Cámara funcional al eje dramático;Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.;"Fogata/fuego FX; Sol/luz cálida; Soortes";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
19;EXT. PASTIZAL / ISLA TIERRA DEL FUEGO;DÍA;"Contraponer rito, linaje y miedo interno; Uky enfrenta lo que la comunidad espera de él.";Ritmo musical/montaje: alternar planos amplios con inserts expresivos y acciones encadenadas.;19.02;Plano narrativo;Cámara baja alrededor del fuego para deformar sombras y aumentar miedo.;Cámara baja alrededor del fuego para deformar sombras y aumentar miedo.;Cámara funcional al eje dramático;Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.;"Fogata/fuego FX; Sol/luz cálida; Mar/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
19;EXT. PASTIZAL / ISLA TIERRA DEL FUEGO;DÍA;"Contraponer rito, linaje y miedo interno; Uky enfrenta lo que la comunidad espera de él.";Ritmo musical/montaje: alternar planos amplios con inserts expresivos y acciones encadenadas.;19.03;Plano narrativo;"Combate con planos medios amplios para leer coreografía; cortes solo en impactos.";"Combate con planos medios amplios para leer coreografía; cortes solo en impactos.";Cámara funcional al eje dramático;Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.;"Fogata/fuego FX; Sol/luz cálida";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
19;EXT. PASTIZAL / ISLA TIERRA DEL FUEGO;DÍA;"Contraponer rito, linaje y miedo interno; Uky enfrenta lo que la comunidad espera de él.";Ritmo musical/montaje: alternar planos amplios con inserts expresivos y acciones encadenadas.;19.04;PP / Primer plano;PP de Uky al romper la máscara: sorpresa y traición afectiva.;sorpresa y traición afectiva.;Cámara funcional al eje dramático;Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.;"Fogata/fuego FX; Sol/luz cálida; Uky; Máscaras/vestuario ritual";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
19;EXT. PASTIZAL / ISLA TIERRA DEL FUEGO;DÍA;"Contraponer rito, linaje y miedo interno; Uky enfrenta lo que la comunidad espera de él.";Ritmo musical/montaje: alternar planos amplios con inserts expresivos y acciones encadenadas.;19.05;Plano narrativo;"Plano de Xo’om imponiendo silencio; transición hacia prueba de caza con caída emocional.";"Plano de Xo’om imponiendo silencio; transición hacia prueba de caza con caída emocional.";Cámara funcional al eje dramático;Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.;"Fogata/fuego FX; Sol/luz cálida; Xo’om";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
20;EXT. LAGO LUNA / ISLA TIERRA DEL FUEGO;DÍA;Avanzar la relación entre personajes y preparar la siguiente variación emocional del viaje.;Ritmo de comedia: timing visual, reacción-retardo-remate, inserts rápidos.;20.01;PG / Plano general;"PG mágico del lago plateado; reflejo de Luna como eje vertical.";"PG mágico del lago plateado; reflejo de Luna como eje vertical.";Cámara funcional al eje dramático;Ambiente natural patagónico: viento, aves, pasos, respiración y silencios expresivos.;"Fogata/fuego FX; Luna/luz plateada; Viento FX; Lago/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
20;EXT. LAGO LUNA / ISLA TIERRA DEL FUEGO;DÍA;Avanzar la relación entre personajes y preparar la siguiente variación emocional del viaje.;Ritmo de comedia: timing visual, reacción-retardo-remate, inserts rápidos.;20.02;Plano narrativo;"Plano secuencia musical rodeando a Lola; Tanú siempre detrás, casi fuera de campo.";"Plano secuencia musical rodeando a Lola; Tanú siempre detrás, casi fuera de campo.";Cámara funcional al eje dramático;Ambiente natural patagónico: viento, aves, pasos, respiración y silencios expresivos.;"Fogata/fuego FX; Luna/luz plateada; Viento FX; Lola; Tanú; Lago/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
20;EXT. LAGO LUNA / ISLA TIERRA DEL FUEGO;DÍA;Avanzar la relación entre personajes y preparar la siguiente variación emocional del viaje.;Ritmo de comedia: timing visual, reacción-retardo-remate, inserts rápidos.;20.03;Plano narrativo;Detalles de pinturas brillando, gotas flotando y piedras suspendidas.;Detalles de pinturas brillando, gotas flotando y piedras suspendidas.;Cámara funcional al eje dramático;Ambiente natural patagónico: viento, aves, pasos, respiración y silencios expresivos.;"Fogata/fuego FX; Luna/luz plateada; Viento FX; Pinturas tari; Lago/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
20;EXT. LAGO LUNA / ISLA TIERRA DEL FUEGO;DÍA;Avanzar la relación entre personajes y preparar la siguiente variación emocional del viaje.;Ritmo de comedia: timing visual, reacción-retardo-remate, inserts rápidos.;20.04;Contrapicado;"Contrapicado de Lola elevándose bajo rayo lunar; belleza que se vuelve sofocante.";"Contrapicado de Lola elevándose bajo rayo lunar; belleza que se vuelve sofocante.";Contrapicado, Picado;Ambiente natural patagónico: viento, aves, pasos, respiración y silencios expresivos.;"Fogata/fuego FX; Luna/luz plateada; Viento FX; Lola; Lago/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
20;EXT. LAGO LUNA / ISLA TIERRA DEL FUEGO;DÍA;Avanzar la relación entre personajes y preparar la siguiente variación emocional del viaje.;Ritmo de comedia: timing visual, reacción-retardo-remate, inserts rápidos.;20.05;Plano narrativo;Corte súbito al agua cayendo y Lola inconsciente: fin del hechizo.;fin del hechizo.;Cámara funcional al eje dramático;Ambiente natural patagónico: viento, aves, pasos, respiración y silencios expresivos.;"Fogata/fuego FX; Luna/luz plateada; Viento FX; Lola; Lago/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
21;EXT. CIÉNAGA ESPECTRAL / ISLA TIERRA DEL FUEGO;DÍA;Activar la tentación de poder de Lola: dolor transformado en deseo de venganza.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;21.01;PG / Plano general;"PG del eclipse como reloj dramático; bajar temperatura de color progresivamente.";"PG del eclipse como reloj dramático; bajar temperatura de color progresivamente.";Cámara funcional al eje dramático;Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave.;"Fogata/fuego FX; Luna/luz plateada";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
21;EXT. CIÉNAGA ESPECTRAL / ISLA TIERRA DEL FUEGO;DÍA;Activar la tentación de poder de Lola: dolor transformado en deseo de venganza.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;21.02;Plano narrativo;Planos amplios de destrucción para escala y planos cortos de Uky/Lola para ancla emocional.;Planos amplios de destrucción para escala y planos cortos de Uky/Lola para ancla emocional.;Cámara funcional al eje dramático;Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave.;"Fogata/fuego FX; Luna/luz plateada; Lola; Uky";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
21;EXT. CIÉNAGA ESPECTRAL / ISLA TIERRA DEL FUEGO;DÍA;Activar la tentación de poder de Lola: dolor transformado en deseo de venganza.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;21.03;Plano narrativo;"Cámara circular para duelo Sol-Luna; Xalpén orbita, Kotaix sostiene eje vertical.";"Cámara circular para duelo Sol-Luna; Xalpén orbita, Kotaix sostiene eje vertical.";Órbita;Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave.;"Fogata/fuego FX; Luna/luz plateada; Sol/luz cálida; Xalpén; Mar/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
21;EXT. CIÉNAGA ESPECTRAL / ISLA TIERRA DEL FUEGO;DÍA;Activar la tentación de poder de Lola: dolor transformado en deseo de venganza.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;21.04;Insert;Insert de grietas, ovejas, armas, sorteos/soortes y fuego para caos fragmentado.;Insert de grietas, ovejas, armas, sorteos/soortes y fuego para caos fragmentado.;Cámara funcional al eje dramático;Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave.;"Fogata/fuego FX; Luna/luz plateada; Ovejas; Rifles/armas; Soortes";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
21;EXT. CIÉNAGA ESPECTRAL / ISLA TIERRA DEL FUEGO;DÍA;Activar la tentación de poder de Lola: dolor transformado en deseo de venganza.;Ritmo medio: alternar establecimiento, acción y reacción para sostener claridad narrativa.;21.05;Plano narrativo;Cerrar cada beat con reacción de Uky o Lola para no perder el corazón de la escena.;Cerrar cada beat con reacción de Uky o Lola para no perder el corazón de la escena.;Cámara funcional al eje dramático;Diseño sonoro lunar: drones, agua, notas cristalinas y presión grave.;"Fogata/fuego FX; Luna/luz plateada; Lola; Uky";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
22;EXT. ENTRADA AL BOSQUE / ISLA TIERRA DEL FUEGO;DÍA;"Contraponer rito, linaje y miedo interno; Uky enfrenta lo que la comunidad espera de él.";Ritmo contenido: planos más largos, pausas, respiración y foco en mirada/reacción.;22.01;Plano narrativo;"Plano ritual con figuras de soortes distribuidas por cardinales; eje geométrico claro.";"Plano ritual con figuras de soortes distribuidas por cardinales; eje geométrico claro.";Cámara funcional al eje dramático;"Viento como voz espiritual y guía; usarlo para transiciones. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Fogata/fuego FX; Sol/luz cálida; Viento FX; Soortes";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
22;EXT. ENTRADA AL BOSQUE / ISLA TIERRA DEL FUEGO;DÍA;"Contraponer rito, linaje y miedo interno; Uky enfrenta lo que la comunidad espera de él.";Ritmo contenido: planos más largos, pausas, respiración y foco en mirada/reacción.;22.02;Plano narrativo;Cámara baja alrededor del fuego para deformar sombras y aumentar miedo.;Cámara baja alrededor del fuego para deformar sombras y aumentar miedo.;Cámara funcional al eje dramático;"Viento como voz espiritual y guía; usarlo para transiciones. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Fogata/fuego FX; Sol/luz cálida; Viento FX; Mar/agua FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
22;EXT. ENTRADA AL BOSQUE / ISLA TIERRA DEL FUEGO;DÍA;"Contraponer rito, linaje y miedo interno; Uky enfrenta lo que la comunidad espera de él.";Ritmo contenido: planos más largos, pausas, respiración y foco en mirada/reacción.;22.03;Plano narrativo;"Combate con planos medios amplios para leer coreografía; cortes solo en impactos.";"Combate con planos medios amplios para leer coreografía; cortes solo en impactos.";Cámara funcional al eje dramático;"Viento como voz espiritual y guía; usarlo para transiciones. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Fogata/fuego FX; Sol/luz cálida; Viento FX";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
22;EXT. ENTRADA AL BOSQUE / ISLA TIERRA DEL FUEGO;DÍA;"Contraponer rito, linaje y miedo interno; Uky enfrenta lo que la comunidad espera de él.";Ritmo contenido: planos más largos, pausas, respiración y foco en mirada/reacción.;22.04;PP / Primer plano;PP de Uky al romper la máscara: sorpresa y traición afectiva.;sorpresa y traición afectiva.;Cámara funcional al eje dramático;"Viento como voz espiritual y guía; usarlo para transiciones. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Fogata/fuego FX; Sol/luz cálida; Viento FX; Uky; Máscaras/vestuario ritual";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
22;EXT. ENTRADA AL BOSQUE / ISLA TIERRA DEL FUEGO;DÍA;"Contraponer rito, linaje y miedo interno; Uky enfrenta lo que la comunidad espera de él.";Ritmo contenido: planos más largos, pausas, respiración y foco en mirada/reacción.;22.05;Plano narrativo;"Plano de Xo’om imponiendo silencio; transición hacia prueba de caza con caída emocional.";"Plano de Xo’om imponiendo silencio; transición hacia prueba de caza con caída emocional.";Cámara funcional al eje dramático;"Viento como voz espiritual y guía; usarlo para transiciones. Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.";"Fogata/fuego FX; Sol/luz cálida; Viento FX; Xo’om";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
22b;EXT. CLARO DE BOSQUE / ISLA TIERRA DEL FUEGO;DÍA;Avanzar la relación entre personajes y preparar la siguiente variación emocional del viaje.;Ritmo musical/montaje: alternar planos amplios con inserts expresivos y acciones encadenadas.;22b.01;PG / Plano general;Plano general de ubicación para orientar geografía y clima emocional.;Plano general de ubicación para orientar geografía y clima emocional.;Cámara funcional al eje dramático;Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.;"Fogata/fuego FX; Sol/luz cálida";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
22b;EXT. CLARO DE BOSQUE / ISLA TIERRA DEL FUEGO;DÍA;Avanzar la relación entre personajes y preparar la siguiente variación emocional del viaje.;Ritmo musical/montaje: alternar planos amplios con inserts expresivos y acciones encadenadas.;22b.02;Plano narrativo;Planos medios alternados de diálogo/acción, cuidando eje entre Uky, Lola y acompañantes.;Planos medios alternados de diálogo/acción, cuidando eje entre Uky, Lola y acompañantes.;Cámara funcional al eje dramático;Diseño solar: resonancias cálidas, bronce/percusión baja, brillo creciente.;"Fogata/fuego FX; Sol/luz cálida; Lola; Uky";"Previsualizar en storyboard/animatic; ajustar duración según acting y montaje."
